car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
3aDhKZsfGcQgcckbPb8YDoUT,Kia Sportage 2009 Gray,1680000,"Abuja (FCT), Gwarinpa",Kia,Sportage,2009,Gray,Nigerian Used,214523.0,2000.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
Bwx9JKXRbA9fwejKlaokqlsM,Toyota Camry 2008 Gray,5062500,"Abuja (FCT), Wuse",Toyota,Camry,2008,Gray,Nigerian Used,216692.0,2400.0,Registered,Imported,unknown,unknown,Abuja,0,0.0,0.0,unknown,Petrol,Automatic
sj6KKc039I9PjEYzAYycutfW,Lexus ES 2004 Green,2453850,"Abuja (FCT), Gwarinpa",Lexus,ES,2004,Green,Nigerian Used,160809.0,3300.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
38UeZDgyNmk1quCJSII7uTfq,Subaru 1800 2008 Blue,2100000,"Abuja (FCT), Lugbe District",Subaru,1800,2008,Blue,Nigerian Used,137715.0,2500.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
fE7PnhAOqUMLStHVRQWSAVMS,Lexus RX 350 2008 Blue,4515000,"Lagos State, Ifako-Ijaiye",Lexus,RX 350,2008,Blue,Nigerian Used,168373.0,3500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
rniXEGfYV7RaGp1I71NUt0zM,Toyota Corolla 2012 Red,4004000,"Abuja (FCT), Garki 2",Toyota,Corolla,2012,Red,Nigerian Used,54815.0,1800.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
kH6GzP5dX6ICUaL5ArZ1AQCj,Honda Accord 2003 White,1155000,"Lagos State, Ikorodu",Honda,Accord,2003,White,Nigerian Used,142364.0,2400.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
bgWHYWzpX36NdVhKMXUDXpqO,Toyota Camry 2007 Beige,5200000,"Lagos State, Kosofe",Toyota,Camry,2007,Beige,Foreign Used,187138.0,2400.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
kIULSukvQhUJR5NbWSO1eoSk,Volkswagen Passat 2008 Blue,1554000,"Abuja (FCT), Wuse",Volkswagen,Passat,2008,Blue,Nigerian Used,111749.0,2200.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
vXWpUmhQ97UZeEYNbbeUpWPn,Honda Civic 2002 Blue,1560000,"Abuja (FCT), Lugbe District",Honda,Civic,2002,Blue,Nigerian Used,294264.0,1700.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
k7ILGrEdjcTRlzTcqItdLCLo,Ford Explorer 2018 Black,21000000,"Lagos State, Ajah",Ford,Explorer,2018,Black,Nigerian Used,105508.0,3500.0,Registered,Imported,unknown,unknown,LAGOS STATE,0,0.0,0.0,unknown,Petrol,Automatic
wK4qIvmnre49rcaSGcY6vn5p,Peugeot 607 2009 Gray,2625000,"Abuja (FCT), Mararaba",Peugeot,607,2009,Gray,Nigerian Used,0.0,2200.0,Registered,Imported,unknown,unknown,Lagos state,0,0.0,0.0,unknown,Petrol,Manual
